symbol,first_close,last_close,avg_volume,sector,yearly_return
ADANIENT,2387.25,2228.0,2356295.1056338027,Conglomerate,-6.670855586972458
ADANIPORTS,831.4,1136.75,4814566.802816901,Transportation,36.72720712051961
APOLLOHOSP,5118.95,6935.1,432472.9718309859,Healthcare,35.478955645200685
ASIANPAINT,3166.85,2472.2,1214614.3450704226,Consumer Durables,-21.93504586576567
AXISBANK,1041.05,1142.4,9618029.686619718,Financials,9.73536333509439
BAJAJ-AUTO,5016.45,9481.65,502406.588028169,Automobile,89.01115330562449
BAJAJFINSV,1561.05,1600.85,1569381.8943661973,Financials,2.5495659972454408
BAJFINANCE,7967.6,6683.95,1179193.1584507043,Financials,-16.110874039861443
BEL,139.2,280.85,28472446.580985915,Defense,101.7600574712644
BHARTIARTL,925.3,1569.3,6171184.151408451,Telecom,69.599048957095
BPCL,170.68,285.85,16170556.644366197,Energy,67.47715022263885
BRITANNIA,4495.45,4848.35,345995.8591549296,FMCG,7.850159605823678
CIPLA,1182.8,1486.5,1817625.088028169,Pharma,25.67636117686845
COALINDIA,291.9,414.05,11918318.838028168,Energy,41.846522781774596
DRREDDY,1092.34,1214.45,2062054.764084507,Pharma,11.178753867843358
EICHERMOT,3351.4,4986.2,635657.5774647887,Automobile,48.77961448946708
GRASIM,1913.84,2598.65,800653.352112676,Cement,35.781988044977645
HCLTECH,1238.7,1898.4,2979915.7077464787,IT,53.25744732380721
HDFCBANK,1508.05,1745.6,20048880.492957745,Financials,15.752130234408671
HDFCLIFE,633.55,688.2,4379828.309859155,Insurance,8.625996369663024
HEROMOTOCO,3015.6,4794.1,732722.8732394367,Automobile,58.97665472874388
HINDALCO,479.95,652.1,6997897.316901408,Metals,35.86831961662674
HINDUNILVR,2468.9,2445.25,1872679.852112676,FMCG,-0.9579164810239414
ICICIBANK,940.3,1278.05,14949379.665492957,Financials,35.91938742954376
INDUSINDBK,1435.4,998.2,3947158.9401408453,Financials,-30.458408805907762
INFY,1434.0,1902.25,6755539.116197183,IT,32.6534170153417
ITC,439.75,474.65,14127310.507042253,FMCG,7.936327458783395
JSWSTEEL,770.25,977.35,2225052.3274647887,Metals,26.88737422914638
KOTAKBANK,1727.05,1761.45,5336166.295774648,Financials,1.9918357893517904
LT,3073.25,3603.5,2418356.5035211267,Capital Goods,17.253721630196047
M&M,1537.4,3012.95,3093708.2007042253,Automobile,95.97697411213734
MARUTI,10346.9,11063.6,560861.3345070423,Automobile,6.9267123486261655
NESTLEIND,2231.52,2247.3,932418.3204225352,FMCG,0.707141320714141
NTPC,241.2,365.45,16639937.82746479,Utilities,51.51326699834162
ONGC,184.6,245.6,18690706.78169014,Energy,33.04442036836403
POWERGRID,199.55,336.95,17529094.10915493,Utilities,68.8549235780506
RELIANCE,1159.08,1265.4,12572108.193661971,Energy,9.172792214514974
SBILIFE,1292.45,1485.15,1349238.2605633803,Insurance,14.909667685403694
SBIN,602.95,816.05,17408250.024647888,Financials,35.34289742101333
SHRIRAMFIN,1921.95,2850.05,1420213.38028169,Financials,48.28949764562034
SUNPHARMA,1141.45,1795.3,2198935.017605634,Pharma,57.28240395987558
TATACONSUM,861.2,945.2,1728552.852112676,FMCG,9.753831862517417
TATAMOTORS,620.45,791.0,12091710.926056338,Automobile,27.48811346603271
TATASTEEL,128.0,142.78,43942286.72887324,Metals,11.546875
TCS,3513.85,4244.6,2322424.4929577466,IT,20.796277587261848
TECHM,1216.2,1747.45,2179248.7429577466,IT,43.68113797072849
TITAN,3196.25,3308.7,1142673.940140845,Consumer Durables,3.5181853734845467
TRENT,2059.1,6652.8,882024.559859155,Retail,223.09261327764563
ULTRACEMCO,8304.9,11375.3,352559.78169014084,Cement,36.970944863875545
WIPRO,405.45,571.65,7784437.665492957,IT,40.991490935997035
